Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
"Gambia, The","SUB-SAHARAN AFRICA",1641564,11300,"145.3","0.71","1.57","72.02",1700,"40.1","26.8",25,"0.5","74.5",2,"39.37","12.25","0.308","0.142","0.549"
"Gaza Strip","NEAR EAST",1428757,360,"3968.8","11.11","1.6","22.93",600,,"244.3","28.95","21.05",50,3,"39.45","3.8","0.03","0.283","0.687"
"Georgia","C.W. OF IND. STATES",4661473,69700,"66.9","0.44","-4.7","18.59",2500,"99.0","146.6","11.44","3.86","84.7",3,"10.41","9.23","0.172","0.275","0.553"
"Germany","WESTERN EUROPE",82422299,357021,"230.9","0.67","2.18","4.16",27600,"99.0","667.9","33.85","0.59","65.56",3,"8.25","10.62","0.009","0.296","0.695"
"Ghana","SUB-SAHARAN AFRICA",22409572,239460,"93.6","0.23","-0.64","51.43",2200,"74.8","14.4","16.26","9.67","74.07",2,"30.52","9.72","0.366","0.246","0.387"
"Gibraltar","WESTERN EUROPE",27928,7,"3989.7","171.43",0,"5.13",17500,,"877.7",0,0,100,,"10.74","9.31",,,
"Greece","WESTERN EUROPE",10688058,131940,"81.0","10.37","2.35","5.53",20000,"97.5","589.7","21.1","8.78","70.12",3,"9.68","10.24","0.054","0.213","0.733"
"Greenland","NORTHERN AMERICA",56361,2166086,"0.0","2.04","-8.37","15.82",20000,,"448.9",0,0,100,1,"15.93","7.84",,,
"Grenada","LATIN AMER. & CARIB",89703,344,"260.8","35.17","-13.92","14.62",5000,"98.0","364.5","5.88","29.41","64.71",2,"22.08","6.88","0.054","0.18","0.766"
"Guadeloupe","LATIN AMER. & CARIB",452776,1780,"254.4","17.19","-0.15","8.6",8000,"90.0","463.8","11.24","3.55","85.21",2,"15.05","6.09","0.15","0.17","0.68"
"Guam","OCEANIA",171019,541,"316.1","23.20",0,"6.94",21000,"99.0","492.0","9.09","16.36","74.55",2,"18.79","4.48",,,
"Guatemala","LATIN AMER. & CARIB",12293545,108890,"112.9","0.37","-1.67","35.93",4100,"70.6","92.1","12.54","5.03","82.43",2,"29.88","5.2","0.227","0.188","0.585"
"Guernsey","WESTERN EUROPE",65409,78,"838.6","64.10","3.84","4.71",20000,,"842.4",,,,3,"8.81","10.01","0.03","0.1","0.87"
"Guinea","SUB-SAHARAN AFRICA",9690222,245857,"39.4","0.13","-3.06","90.37",2100,"35.9","2.7","3.63","2.58","93.79",2,"41.76","15.48","0.237","0.362","0.401"
"Guinea-Bissau","SUB-SAHARAN AFRICA",1442029,36120,"39.9","0.97","-1.57","107.17",800,"42.4","7.4","10.67","8.82","80.51",2,"37.22","16.53","0.62","0.12","0.26"
"Guyana","LATIN AMER. & CARIB",767245,214970,"3.6","0.21","-2.07","33.26",4000,"98.8","143.5","2.44","0.15","97.41",2,"18.28","8.28","0.37","0.203","0.427"
"Haiti","LATIN AMER. & CARIB",8308504,27750,"299.4","6.38","-3.4","73.45",1600,"52.9","16.9","28.3","11.61","60.09",2,"36.44","12.17","0.28","0.2","0.52"
"Honduras","LATIN AMER. & CARIB",7326496,112090,"65.4","0.73","-1.99","29.32",2600,"76.2","67.5","9.55","3.22","87.23",2,"28.24","5.28","0.139","0.312","0.549"
"Hong Kong","ASIA (EX. NEAR EAST)",6940432,1092,"6355.7","67.12","5.24","2.97",28800,"93.5","546.7","5.05","1.01","93.94",2,"7.29","6.29","0.001","0.092","0.906"
"Hungary","EASTERN EUROPE",9981334,93030,"107.3","0.00","0.86","8.57",13900,"99.4","336.2","50.09","2.06","47.85",3,"9.72","13.11","0.037","0.312","0.651"
